Timestamp,Event Type,Filename,Category,Referrer,IP Address,User Agent,Date,Time,Session ID,Original Source,Landing Page,Page Views,Downloads
"10/06/2025, 05:28:14 PM",page_view,/,homepage,https://www.qwant.com/,not-collected,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,10/6/2025,05:28:14 PM,backfill_b628e05dcee5,qwant,/,1,0
"10/06/2025, 05:28:25 PM",page_view,/category/well-lit,Well Lit,https://www.qwant.com/,not-collected,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,10/6/2025,05:28:25 PM,backfill_b628e05dcee5,qwant,/,2,0
"10/06/2025, 05:28:32 PM",download,wall-shelves-bright-05.webp,wall-shelves-bright,https://streambackdrops.com/category/well-lit,not-collected,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,10/6/2025,05:28:32 PM,backfill_b628e05dcee5,qwant,/,2,1
"10/06/2025, 05:29:00 PM",page_view,/category/ambient-lighting,Ambient Lighting,https://www.qwant.com/,not-collected,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,10/6/2025,05:29:00 PM,backfill_b628e05dcee5,qwant,/,3,1
"10/06/2025, 05:29:02 PM",page_view,/category/office-spaces,Office Spaces,https://www.qwant.com/,not-collected,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,10/6/2025,05:29:02 PM,backfill_b628e05dcee5,qwant,/,4,1
"10/06/2025, 05:29:09 PM",page_view,/category/living-room,Living Room,https://www.qwant.com/,not-collected,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,10/6/2025,05:29:09 PM,backfill_b628e05dcee5,qwant,/,5,1
"10/06/2025, 05:29:11 PM",page_view,/category/office-spaces,Office Spaces,https://www.qwant.com/,not-collected,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,10/6/2025,05:29:11 PM,backfill_b628e05dcee5,qwant,/,6,1
"10/06/2025, 05:29:12 PM",page_view,/category/ambient-lighting,Ambient Lighting,https://www.qwant.com/,not-collected,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,10/6/2025,05:29:12 PM,backfill_b628e05dcee5,qwant,/,7,1
"10/06/2025, 05:29:13 PM",page_view,/category/well-lit,Well Lit,https://www.qwant.com/,not-collected,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,10/6/2025,05:29:13 PM,backfill_b628e05dcee5,qwant,/,8,1
"10/06/2025, 05:29:14 PM",page_view,/,homepage,https://www.qwant.com/,not-collected,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:143.0) Gecko/20100101 Firefox/143.0,10/6/2025,05:29:14 PM,backfill_b628e05dcee5,qwant,/,9,1
